season,celebrity_name,predicted_final_rank,predicted_final_score,predicted_alpha_i,predicted_judge_pct,predicted_fan_pct,actual_placement
10,Niecy Nash                 ,9,,,0.0,0.0,5
10,Pamela Anderson            ,10,,,0.0,0.0,6
10,Shannen Doherty            ,11,,,0.0,0.0,11
11,Jennifer Grey              ,1,,,0.36144665408832305,0.0,1
11,Kyle Massey                ,2,,,0.3293164561842318,0.0,2
11,Bristol Palin              ,3,,,0.3092368897274451,0.0,3
11,Audrina Patridge           ,4,,,0.0,0.0,7
11,Brandy                     ,5,,,0.0,0.0,4
11,David Hasselhoff           ,6,,,0.0,0.0,12
11,Florence Henderson         ,7,,,0.0,0.0,8
11,Kurt Warner                ,8,,,0.0,0.0,5
11,Margaret Cho               ,9,,,0.0,0.0,10
11,Michael Bolton             ,10,,,0.0,0.0,11
11,Rick Fox                   ,11,,,0.0,0.0,6
11,The Situation              ,12,,,0.0,0.0,9
12,Chelsea Kane               ,1,,,0.33969480071129965,0.0,3
12,Hines Ward                 ,2,,,0.33969480071129965,0.0,1
12,Kirstie Alley              ,3,,,0.32061039857740076,0.0,2
12,Chris Jericho              ,4,,,0.0,0.0,7
12,Kendra Wilkinson           ,5,,,0.0,0.0,6
12,Mike Catherwood            ,6,,,0.0,0.0,11
12,Petra Nemcova              ,7,,,0.0,0.0,8
12,Ralph Macchio              ,8,,,0.0,0.0,4
12,Romeo                      ,9,,,0.0,0.0,5
12,Sugar Ray Leonard          ,10,,,0.0,0.0,9
12,Wendy Williams             ,11,,,0.0,0.0,10
13,Rob Kardashian             ,1,,,0.33530572925789,0.0,2
13,J.R. Martinez              ,2,,,0.3333329388541484,0.0,1
13,Ricki Lake                 ,3,,,0.3313613318879616,0.0,3
13,Carson Kressley            ,4,,,0.0,0.0,8
13,Chaz Bono                  ,5,,,0.0,0.0,7
13,Chynna Phillips            ,6,,,0.0,0.0,9
13,David Arquette             ,7,,,0.0,0.0,6
13,Elisabetta Canalis         ,8,,,0.0,0.0,11
13,Hope Solo                  ,9,,,0.0,0.0,4
13,Kristin Cavallari          ,10,,,0.0,0.0,10
13,Metta World Peace (Ron)    ,11,,,0.0,0.0,12
13,Nancy Grace                ,12,,,0.0,0.0,5
14,Katherine Jenkins          ,1,,,0.3358213967483533,0.0,2
14,Donald Driver              ,2,,,0.33208930162582334,0.0,1
14,William Levy               ,3,,,0.33208930162582334,0.0,3
14,Gavin DeGraw               ,4,,,0.0,0.0,9
14,Gladys Knight              ,5,,,0.0,0.0,8
14,Jack Wagner                ,6,,,0.0,0.0,11
14,Jaleel White               ,7,,,0.0,0.0,7
14,Maria Menounos             ,8,,,0.0,0.0,4
14,Martina Navratilova        ,9,,,0.0,0.0,12
14,Melissa Gilbert            ,10,,,0.0,0.0,5
14,Roshon Fegan               ,11,,,0.0,0.0,6
14,Sherri Sheperd             ,12,,,0.0,0.0,10
