season,week,method,celebrity_name,judge_total,bayes_vote_share,bayes_vote_share_sd,p_eliminated_mc,elim_after_week_true
2,5,rank,Tia Carrere,22.0,0.0911170318722724,0.0284318905323743,0.9945,True
2,6,rank,Drew Lachey,30.0,0.2228261977434158,0.0523233078420162,0.0,False
2,6,rank,George Hamilton,23.0,0.1062239333987236,0.0263453423976898,0.987,True
2,6,rank,Jerry Rice,23.0,0.4096864759922027,0.0746569409966468,0.0,False
2,6,rank,Lisa Rinna,27.0,0.1128215044736862,0.033916849642992,0.013,False
2,6,rank,Stacy Keibler,30.0,0.148441731929779,0.0419123396277427,0.0,False
2,7,rank,Drew Lachey,27.5,0.2678156793117523,0.0711396411061286,0.0,False
2,7,rank,Jerry Rice,20.5,0.4698663055896759,0.0683192312717437,0.0005,False
2,7,rank,Lisa Rinna,26.5,0.1045945659279823,0.0274631790816783,0.999,True
2,7,rank,Stacy Keibler,27.5,0.1577237099409103,0.0454901792109012,0.0005,False
2,8,rank,Drew Lachey,28.9998,0.2789347767829895,0.1253055334091186,0.0,False
2,8,rank,Jerry Rice,26.666600000000003,0.53766930103302,0.1446040570735931,0.274,False
2,8,rank,Stacy Keibler,28.6665,0.1833960562944412,0.0932828933000564,0.726,False
3,1,percent,Emmitt Smith,24.0,0.1043431386351585,0.0247375033795833,0.0,False
3,1,percent,Harry Hamlin,17.0,0.073223203420639,0.0210447832942008,0.0,False
3,1,percent,Jerry Springer,16.0,0.1225170195102691,0.0291310343891382,0.0,False
3,1,percent,Joey Lawrence,21.0,0.1023913025856018,0.0222373027354478,0.0,False
3,1,percent,Mario Lopez,26.0,0.1055031269788742,0.0232561267912387,0.0,False
3,1,percent,Monique Coleman,19.0,0.1084649935364723,0.0244539622217416,0.0,False
3,1,percent,Sara Evans,15.0,0.1153687089681625,0.0263954307883977,0.0,False
3,1,percent,Shanna Moakler,18.0,0.0578026995062828,0.0156070617958903,0.0,False
3,1,percent,Tucker Carlson,12.0,0.0335225351154804,0.0067960857413709,1.0,True
3,1,percent,Vivica A. Fox,22.0,0.0808460786938667,0.0250697750598192,0.0,False
3,1,percent,Willa Ford,22.0,0.0960172712802887,0.0227837041020393,0.0,False
3,2,percent,Emmitt Smith,24.0,0.1353607028722763,0.0368948802351951,0.0,False
3,2,percent,Harry Hamlin,21.0,0.0399161167442798,0.0125927086919546,0.051,False
3,2,percent,Jerry Springer,19.0,0.1422021836042404,0.0317606255412101,0.0,False
3,2,percent,Joey Lawrence,29.0,0.1237615793943405,0.0305522512644529,0.0,False
3,2,percent,Mario Lopez,21.0,0.1406750530004501,0.0437972769141197,0.0,False
3,2,percent,Monique Coleman,26.0,0.1159159019589424,0.0316128171980381,0.0,False
3,2,percent,Sara Evans,21.0,0.1378897130489349,0.0362480543553829,0.0,False
3,2,percent,Shanna Moakler,22.0,0.016092725098133,0.0041320039890706,0.949,True
3,2,percent,Vivica A. Fox,24.0,0.0559130944311618,0.0203532092273235,0.0,False
3,2,percent,Willa Ford,23.0,0.0922730714082717,0.027348093688488,0.0,False
3,3,percent,Emmitt Smith,19.0,0.1610417813062667,0.0406668968498706,0.0,False
3,3,percent,Harry Hamlin,22.0,0.0127692595124244,0.0035376523155719,1.0,True
3,3,percent,Jerry Springer,21.0,0.1370951533317566,0.0310639310628175,0.0,False
3,3,percent,Joey Lawrence,22.0,0.1466646641492843,0.0385489128530025,0.0,False
3,3,percent,Mario Lopez,22.0,0.1436458379030227,0.0346435457468032,0.0,False
3,3,percent,Monique Coleman,27.0,0.1415806263685226,0.0361920595169067,0.0,False
3,3,percent,Sara Evans,25.0,0.1602848470211029,0.0430607609450817,0.0,False
3,3,percent,Vivica A. Fox,27.0,0.0275713745504617,0.0109412772580981,0.0,False
3,3,percent,Willa Ford,22.0,0.0693464055657386,0.0228932127356529,0.0,False
3,4,percent,Emmitt Smith,24.0,0.1651958227157592,0.0415442325174808,0.0,False
3,4,percent,Jerry Springer,22.0,0.1523886919021606,0.0404870696365833,0.0,False
3,4,percent,Joey Lawrence,27.0,0.1642481088638305,0.0386361144483089,0.0,False
3,4,percent,Mario Lopez,29.0,0.1534890830516815,0.0355107858777046,0.0,False
3,4,percent,Monique Coleman,24.0,0.146400511264801,0.0391127690672874,0.0,False
3,4,percent,Sara Evans,20.0,0.1731926798820495,0.0445041321218013,0.0,False
3,4,percent,Vivica A. Fox,24.0,0.0116771375760436,0.0035675279796123,1.0,True
3,4,percent,Willa Ford,28.0,0.0334079191088676,0.0109582804143428,0.0,False
3,5,percent,Emmitt Smith,27.0,0.1835413724184036,0.0393867380917072,0.0,False
3,5,percent,Jerry Springer,24.0,0.1118737906217575,0.0309611745178699,0.0,False
3,5,percent,Joey Lawrence,25.0,0.1859318017959594,0.0435702987015247,0.0,False
3,5,percent,Mario Lopez,27.0,0.1679631620645523,0.0383253321051597,0.0,False
3,5,percent,Monique Coleman,27.0,0.1553317308425903,0.0357639156281948,0.0,False
3,5,percent,Sara Evans,24.0,0.1816032379865646,0.0452438667416572,0.0,False
3,5,percent,Willa Ford,27.0,0.0137548744678497,0.0033958449494093,1.0,True
3,6,percent,Emmitt Smith,25.0,0.2704628705978393,0.0759716480970382,0.0,False
3,6,percent,Jerry Springer,18.0,0.0641034543514251,0.0231405533850193,0.9945,False
