season,week,n_active,p_max_hat,gap_top1_top2_hat,entropy_hat,H_norm_hat,D_entropy_hat,kl_y_yhat,top1_hat,alpha
1,-1,6,0.2961566702232853,0.07543143065420646,1.6509628170072326,0.9214198922127188,0.0785801077872812,0.16259701650554992,Rachel Hunter,1.0
1,0,6,0.22369105328549546,0.0152516548511403,1.748180295624063,0.9756780001152905,0.02432199988470951,0.019145197996390743,John O'Hurley,1.0
1,0,5,0.24031346921219035,0.010109947216795062,1.5837027501822094,0.9840098446463403,0.015990155353659663,0.035885679712695184,Evander Holyfield,1.0
1,0,4,0.3285474781344924,0.010170048958185463,1.3174189750750784,0.9503169110569183,0.04968308894308171,0.03928167229258107,Kelly Monaco,1.0
1,0,3,0.46639344992582676,0.1804954370292497,1.0593867993034545,0.9642954208966569,0.035704579103343126,0.07103899853115389,Joey McIntyre,1.0
1,0,2,0.5587967033930239,0.11759340678704788,0.6862170521532713,0.9900019381149677,0.009998061885032272,0.0007092837306774159,Kelly Monaco,1.0
2,-1,10,0.2662845852407004,0.11229049889804985,2.0825849060312693,0.9044551327843824,0.09554486721561761,0.35410459852352916,Kenny Mayne,1.0
2,0,9,0.1364551052009437,0.002936832967362163,2.182792434649269,0.993431648801031,0.006568351198969036,0.033215150858167945,Jerry Rice,1.0
2,0,8,0.1575400326480059,0.0016392860284610566,2.055791626571651,0.988626794918659,0.011373205081340987,0.021102343179548323,Jerry Rice,1.0
2,0,7,0.2008337664258807,0.04637121886446388,1.9264500207200248,0.9899994723061927,0.010000527693807326,0.02252771555307123,Jerry Rice,1.0
2,0,6,0.29208605334545196,0.11986127947157388,1.7291631279517135,0.9650643167504454,0.03493568324955465,0.015898490738383456,Jerry Rice,1.0
2,0,5,0.38146561401034373,0.18645593867257712,1.514332930413561,0.9409079522199753,0.05909204778002475,0.013142996278715962,Jerry Rice,1.0
2,0,4,0.5100254953833244,0.285028197520843,1.214460023759488,0.876047726817853,0.12395227318214697,0.009348271792298721,Jerry Rice,1.0
2,1,3,0.6650218333413948,0.4469003839034673,0.8542889824811151,0.777607342729438,0.222392657270562,0.03707643101874118,Jerry Rice,1.0
3,-1,11,0.23320533085351283,0.04718693769856089,2.1864079499296265,0.9118029359881359,0.08819706401186411,0.23652367793071577,Harry Hamlin,1.0
3,0,10,0.16593995163680444,0.04948525272481548,2.2577091974158545,0.9805106461799249,0.019489353820075106,0.05941839363317008,Willa Ford,1.0
3,0,9,0.15379164180347435,0.020698439643879296,2.15879961821803,0.9825120474645456,0.017487952535454432,0.0757587390795707,Willa Ford,1.0
3,0,8,0.1554506152777187,0.01457248953127846,2.0514067826235314,0.9865181307123175,0.013481869287682469,0.10042033593541584,Willa Ford,1.0
3,0,7,0.16796235960190598,0.008540208179072445,1.9279787219887867,0.990785069354188,0.009214930645812025,0.1213723375885243,Emmitt Smith,1.0
3,0,5,0.23940335144303757,0.030478012318670394,1.6007311719649935,0.9945901979804,0.005409802019599952,0.04258209328567111,Emmitt Smith,1.0
3,0,5,0.26689219473310377,0.03777068324592528,1.5717681468813698,0.9765944586854183,0.023405541314581724,0.06111590301875027,Emmitt Smith,1.0
3,1,4,0.2987421748417926,0.026998063174963782,1.3677395020264367,0.9866154984007403,0.013384501599259746,0.08121038807851189,Emmitt Smith,1.0
3,1,3,0.37993770015874023,0.06318672620488036,1.093682393056461,0.9955126156311017,0.004487384368898284,0.1469411404264579,Emmitt Smith,1.0
3,1,2,0.5563957042195331,0.1127914084400663,0.6867726733143542,0.9908035300086749,0.009196469991325062,0.005385624265833049,Emmitt Smith,1.0
4,-1,11,0.17372716021145532,0.016871502506383917,2.2542253402309766,0.9400849844456595,0.059915015554340534,0.11852031421671222,Leeza Gibbons,1.0
4,0,11,0.12030276335326931,0.002704820417522749,2.3712792313467514,0.9889002485831844,0.011099751416815629,0.05306085680877221,Laila Ali,1.0
4,0,10,0.1227926089958174,0.001892806773921521,2.270788505221478,0.9861909173870214,0.01380908261297864,0.05078540755289855,Laila Ali,1.0
4,0,9,0.14204742515542643,0.0032908284181188685,2.1567635198745743,0.981585379173804,0.01841462082619605,0.04637202661807365,Joey Fatone,1.0
4,0,8,0.1669065385808773,0.015266331951460044,2.0313923147160287,0.9768932061802558,0.02310679381974423,0.05109209748813441,Apolo Anton Ohno,1.0
4,0,7,0.18315707064515652,0.0034350409993443576,1.9096238728882424,0.9813525428269714,0.018647457173028625,0.05385814626893608,Laila Ali,1.0
4,0,6,0.19587255126099465,0.018160711476563035,1.7803127344431613,0.9936114556772371,0.0063885443227629235,0.06036710984110346,Laila Ali,1.0
4,1,5,0.21998921138279967,0.004092914415148141,1.6025364144043217,0.9957118581733042,0.0042881418266957905,0.07892307584194963,Laila Ali,1.0
4,1,4,0.2678997633320454,0.0015335085170607998,1.3817324063631253,0.9967092452478274,0.0032907547521725533,0.10735154759281922,Laila Ali,1.0
4,1,3,0.3395934133553945,0.009059797643546863,1.0985240560100857,0.9999196871735969,8.03128264030839e-05,0.0007188682402792038,Laila Ali,1.0
5,-1,12,0.21857484031170757,0.0702725184220736,2.2981518736231568,0.924844349311562,0.07515565068843799,0.21308469607915337,Jane Seymour,1.0
5,0,11,0.1313791805929813,0.007825210243797412,2.360755858108503,0.9845116610757877,0.015488338924212308,0.043115364500278794,Jane Seymour,1.0
5,0,10,0.13360944946374115,0.0029805347941789795,2.250389517461726,0.9773317495665491,0.022668250433450887,0.03453963302825394,Jane Seymour,1.0
